nombre,apellido,dni,fecha_nacimiento,estado
Juan,Pérez,12345678,,ACTIVO
María,Gómez,87654321,,PASIVO
Carlos,López,98765432,,ACTIVO
Ana,Rodríguez,23456789,,INACTIVO
Luis,Sánchez,34567890,,ACTIVO
Sofía,Martínez,45678901,,EXONERADO
Pedro,González,56789012,,PASIVO
Elena,Díaz,67890123,,ACTIVO
Javier,Vargas,78901234,,ACTIVO
Carmen,Castro,89012345,,INACTIVO
Manuel,Ruiz,90123456,,ACTIVO
Patricia,Torres,01234567,,PASIVO
Roberto,Flores,12345679,,EXONERADO
Sandra,Vega,23456790,,ACTIVO
Andrés,Rojas,34567901,,INACTIVO
Mónica,Jiménez,45679012,,ACTIVO
Ricardo,Silva,56790123,,PASIVO
Laura,Moreno,67901234,,EXONERADO
Sergio,Herrera,79012345,,ACTIVO
Isabel,Núñez,90123457,,INACTIVO
Daniel,Cruz,01234568,,ACTIVO
Carolina,Pérez,12345680,,PASIVO
Jorge,Gómez,23456891,,EXONERADO
Beatriz,López,34568902,,ACTIVO
Alejandro,Rodríguez,45689013,,INACTIVO
Raquel,Sánchez,56890124,,ACTIVO
Fernando,Martínez,68901235,,PASIVO
Cristina,González,79012346,,EXONERADO
Álvaro,Díaz,90123458,,ACTIVO
Natalia,Vargas,01234569,,INACTIVO
Emilio,Castro,12345681,,ACTIVO
Lorena,Ruiz,23456892,,PASIVO
Gabriel,Torres,34568903,,EXONERADO
Silvia,Flores,45689014,,ACTIVO
Héctor,Vega,56890125,,INACTIVO
Valeria,Rojas,68901236,,ACTIVO
Adrián,Jiménez,79012347,,PASIVO
Lucía,Silva,90123459,,EXONERADO
Pablo,Moreno,01234570,,ACTIVO
Andrea,Herrera,12345682,,INACTIVO
Marcos,Núñez,23456893,,ACTIVO
Claudia,Cruz,34568904,,PASIVO
Esteban,Pérez,45689015,,EXONERADO
Raquel,Gómez,56890126,,ACTIVO
Martín,López,68901237,,INACTIVO
Isabella,Rodríguez,79012348,,ACTIVO
Gustavo,Sánchez,90123460,,PASIVO
Florencia,Martínez,01234571,,EXONERADO
Ignacio,González,12345683,,ACTIVO
Camila,Díaz,23456894,,INACTIVO
Federico,Vargas,34568905,,ACTIVO
Julieta,Castro,45689016,,PASIVO
Sebastián,Ruiz,56890127,,EXONERADO
Daniela,Torres,68901238,,ACTIVO
Nicolás,Flores,79012349,,INACTIVO
Valentina,Vega,90123461,,ACTIVO
Emiliano,Rojas,01234572,,PASIVO
Renata,Jiménez,12345684,,EXONERADO
Mateo,Silva,23456895,,ACTIVO
Antonella,Moreno,34568906,,INACTIVO
Joaquín,Herrera,45689017,,ACTIVO
Luciana,Núñez,56890128,,PASIVO
Benjamín,Cruz,68901239,,EXONERADO
Sofía,Pérez,79012350,,ACTIVO
Thiago,Gómez,90123462,,INACTIVO
Martina,López,01234573,,ACTIVO
Bruno,Rodríguez,12345685,,PASIVO
Agustina,Sánchez,23456896,,EXONERADO
Santino,Martínez,34568907,,ACTIVO
Catalina,González,45689018,,INACTIVO
Máximo,Díaz,56890129,,ACTIVO
Emilia,Vargas,68901240,,PASIVO
Lorenzo,Castro,79012351,,EXONERADO
Victoria,Ruiz,90123463,,ACTIVO
Facundo,Torres,01234574,,INACTIVO
Abril,Flores,12345686,,ACTIVO
Joaquín,Vega,23456897,,PASIVO
Mía,Rojas,34568908,,EXONERADO
Bautista,Jiménez,45689019,,ACTIVO
Pilar,Silva,56890130,,INACTIVO
Benicio,Moreno,68901241,,ACTIVO
Alma,Herrera,79012352,,PASIVO
Juan,Núñez,90123464,,EXONERADO
Olivia,Cruz,01234575,,ACTIVO
Mateo,Pérez,12345687,,INACTIVO
Emma,Gómez,23456898,,ACTIVO
Lucas,López,34568909,,PASIVO
Sofía,Rodríguez,45689020,,EXONERADO
Benjamín,Sánchez,56890131,,ACTIVO
Martina,Martínez,68901242,,INACTIVO
Santiago,González,79012353,,ACTIVO
Valeria,Díaz,90123465,,PASIVO
Thiago,Vargas,01234576,,EXONERADO
Isabella,Castro,12345688,,ACTIVO
Máximo,Ruiz,23456899,,INACTIVO
Valentina,Torres,34568910,,ACTIVO
Gabriel,Flores,45689021,,PASIVO
Camila,Vega,56890132,,EXONERADO
Andrés,Rojas,68901243,,ACTIVO
Luciana,Jiménez,79012354,,INACTIVO
